,HOMO Ranks, HOMO Values,LUMO Ranks,LUMO Values,Wavelength Ranks,Wavelength Values
1001,2ed_6b_7ea,-5.392798584739701,6ed_3b_9ea,-3.1446398271612086,2ed_12b_4ea,455.6155589229966
1002,11ed_17b_1ea,-5.392645269407378,10ed_20b_5ea,-3.1453670993037655,1ed_10b_3ea,455.608248776757
1003,10ed_23b_3ea,-5.392624558408641,7ed_1b_9ea,-3.1466801387595646,9ed_24b_7ea,455.44428254726904
1004,5ed_5b_2ea,-5.3924967542830995,1ed_21b_10ea,-3.1472547028626043,11ed_23b_9ea,455.43452609011325
1005,1ed_11b_9ea,-5.391950933149701,1ed_25b_3ea,-3.1484337309303583,10ed_11b_5ea,455.38015474966426
1006,5ed_24b_6ea,-5.391178297807907,2ed_12b_4ea,-3.150962066508941,3ed_25b_1ea,455.3460067205758
1007,7ed_9b_6ea,-5.3909982091938815,6ed_11b_1ea,-3.153519559995412,5ed_8b_6ea,455.34179639055714
1008,9ed_14b_8ea,-5.390856259741421,5ed_8b_11ea,-3.153572082559022,2ed_17b_1ea,455.3013560334367
1009,11ed_24b_3ea,-5.390037150499684,7ed_24b_3ea,-3.155087360168335,6ed_5b_1ea,455.283063507663
1010,1ed_9b_7ea,-5.389492339746781,1ed_22b_7ea,-3.155886401832698,2ed_23b_8ea,455.2754536726163
1011,6ed_11b_11ea,-5.389265525538384,10ed_22b_2ea,-3.158031758558276,1ed_17b_8ea,455.2311587846845
1012,5ed_2b_1ea,-5.389228648451742,6ed_13b_8ea,-3.1581611019420706,1ed_25b_2ea,455.22680478469897
1013,11ed_17b_11ea,-5.388833111509184,6ed_22b_3ea,-3.160116740619314,6ed_11b_5ea,455.2147109212773
1014,11ed_8b_3ea,-5.388600486712251,6ed_1b_11ea,-3.1611578312485578,2ed_21b_9ea,454.91368487716926
1015,10ed_25b_11ea,-5.388319115559958,10ed_20b_9ea,-3.162813296792208,5ed_3b_11ea,454.7901288749478
1016,3ed_1b_7ea,-5.3876745360381335,10ed_12b_4ea,-3.1629308620246097,6ed_2b_9ea,454.77140320521977
1017,11ed_14b_1ea,-5.38742726252543,11ed_8b_6ea,-3.1643597911581733,11ed_7b_2ea,454.7085135524338
1018,7ed_9b_5ea,-5.387389123363865,7ed_11b_4ea,-3.1655448041251555,7ed_23b_8ea,454.6812083788864
1019,11ed_22b_1ea,-5.387056478103583,6ed_11b_4ea,-3.166135814383839,7ed_17b_1ea,454.6304867116167
1020,10ed_25b_4ea,-5.3869678235201,9ed_13b_9ea,-3.166164780644664,5ed_22b_3ea,454.5456582125669
1021,5ed_23b_4ea,-5.386731915887257,3ed_24b_3ea,-3.1666789700831637,6ed_14b_1ea,454.48032839170446
1022,11ed_17b_6ea,-5.386522781536116,7ed_25b_3ea,-3.1675800644251337,9ed_17b_9ea,454.45139698539504
1023,11ed_7b_2ea,-5.3863363789447,2ed_20b_6ea,-3.167739499317666,10ed_6b_3ea,454.42712768367625
1024,5ed_14b_2ea,-5.384969427808576,1ed_14b_3ea,-3.168520035977621,10ed_13b_5ea,454.4071935634134
1025,7ed_6b_11ea,-5.3841568842386565,7ed_1b_6ea,-3.1710356598039597,6ed_10b_2ea,454.3833822239574
1026,6ed_25b_9ea,-5.383859095304031,2ed_8b_11ea,-3.1712952801723993,9ed_7b_7ea,454.3692210329437
1027,6ed_2b_2ea,-5.383711842254673,3ed_7b_9ea,-3.1712990145757995,11ed_17b_3ea,454.3424820470598
1028,9ed_22b_8ea,-5.383680268764928,2ed_20b_3ea,-3.1721778695099605,9ed_12b_8ea,454.19505580639503
1029,11ed_13b_10ea,-5.383535795162624,7ed_22b_2ea,-3.1732062483869603,5ed_3b_2ea,454.13363345673366
1030,11ed_13b_9ea,-5.383468861958371,5ed_20b_3ea,-3.173226812240133,2ed_36b_9ea,454.1245649866985
